"","setname","pvalue","estimate","exp","BH"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",1,0.561755298678023,"UP",1
"2","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.243257408759323,1.87623834383544,"DOWN",0.86390015906947
"3","GOBP_REPRODUCTION",0.0958082256060968,1.2258069463209,"UP",0.528979385750859
"4","GOBP_REPRODUCTION",0.370088155571141,0.877178357455687,"DOWN",0.974666640601635
"5","GOBP_SINGLE_STRAND_BREAK_REPAIR",1,0,"UP",1
"6","GOBP_SINGLE_STRAND_BREAK_REPAIR",1,0,"DOWN",1
"7","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.160090041182833,0.409578713759183,"UP",0.696672470412732
"8","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.553364906876874,0.701180837242363,"DOWN",1
"9","GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"UP",1
"10","GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"DOWN",1
"11","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.628178896904532,0,"UP",1
"12","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.628178896904532,0,"DOWN",1
"13","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"UP",1
"14","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"DOWN",1
"15","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.717738975294107,0.467947473654423,"UP",1
"16","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.0484942188106233,2.81938264249511,"DOWN",0.346811181896255
"17","GOBP_TRANSITION_METAL_ION_TRANSPORT",1,0.864167889293837,"UP",1
"18","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.376035383477172,0.501961800634787,"DOWN",0.974666640601635
"19","GOBP_UREA_CYCLE",1,0,"UP",1
"20","GOBP_UREA_CYCLE",0.0222674120291463,6.7614081149032,"DOWN",0.213185108078398
"21","GOBP_CITRULLINE_METABOLIC_PROCESS",0.494330792070102,1.60666008333123,"UP",1
"22","GOBP_CITRULLINE_METABOLIC_PROCESS",0.134295756164158,3.75237555297566,"DOWN",0.62210841933626
"23","GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",0.61589663501024,0,"UP",1
"24","GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",0.61589663501024,0,"DOWN",1
"25","GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"UP",1
"26","GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"DOWN",1
"27","GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"UP",1
"28","GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"DOWN",1
"29","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",1.93584520890656e-05,0,"UP",0.00100935648436321
"30","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.874733576736119,0.905752928047515,"DOWN",1
"31","GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",2.89827118113131e-05,0,"UP",0.00140222403842455
"32","GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",0.192988536547169,0.545747198975858,"DOWN",0.758761416073535
"33","GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",0.617875092372219,0,"UP",1
"34","GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",0.287748566405479,2.04612084234841,"DOWN",0.878171491804969
"35","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",1,0.802872740160699,"UP",1
"36","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.628178896904532,0,"DOWN",1
"37","GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",1,0.864576866108466,"UP",1
"38","GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.283161157640466,1.87711630128464,"DOWN",0.878171491804969
"39","GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",1,0.802872740160699,"UP",1
"40","GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.349833619127265,1.73105189118577,"DOWN",0.959264348533494
"41","GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.449326412581859,1.87448776163282,"UP",1
"42","GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.106288670130406,4.50331924838678,"DOWN",0.550467884837681
"43","GOBP_SULFUR_AMINO_ACID_TRANSPORT",1,0,"UP",1
"44","GOBP_SULFUR_AMINO_ACID_TRANSPORT",1,0,"DOWN",1
"45","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.419183465742923,1.12201833697538,"UP",0.997676789991508
"46","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.000168038936097998,0.507411983779206,"DOWN",0.00603779279202548
"47","GOBP_RRNA_MODIFICATION",0.252747410774734,0,"UP",0.867780059201345
"48","GOBP_RRNA_MODIFICATION",0.699739198330343,1.12452964281622,"DOWN",1
"49","GOBP_MAPK_CASCADE",7.32421119200888e-07,1.9497107223142,"UP",6.45647837451495e-05
"50","GOBP_MAPK_CASCADE",0.179582394299554,0.787563475266652,"DOWN",0.72600702118304
"51","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",0.165216463809697,0,"UP",0.696769372206961
"52","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",0.283161157640466,1.87711630128464,"DOWN",0.878171491804969
"53","GOBP_PROTEIN_POLYUBIQUITINATION",0.0130121252182925,0.384014064054022,"UP",0.150391251689643
"54","GOBP_PROTEIN_POLYUBIQUITINATION",0.0733309269470144,0.519110717151428,"DOWN",0.449871572089456
"55","GOBP_MEIOTIC_SPINDLE_ORGANIZATION",0.61589663501024,0,"UP",1
"56","GOBP_MEIOTIC_SPINDLE_ORGANIZATION",0.61589663501024,0,"DOWN",1
"57","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION",0.653755306726486,0.903135236698322,"UP",1
"58","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION",0.0480326145323344,0.65806426088273,"DOWN",0.34623896713259
"59","GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",1,0,"UP",1
"60","GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",1,0,"DOWN",1
"61","GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",0.0722734751564937,0,"UP",0.44445089481398
"62","GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",0.370750188436888,0.295181634615221,"DOWN",0.974666640601635
"63","GOBP_ALLANTOIN_METABOLIC_PROCESS",1,0,"UP",1
"64","GOBP_ALLANTOIN_METABOLIC_PROCESS",0.288854427918737,3.74962743332126,"DOWN",0.878171491804969
"65","GOBP_MITOCHONDRIAL_FISSION",0.743023110521369,1.16354349159598,"UP",1
"66","GOBP_MITOCHONDRIAL_FISSION",0.743023110521369,1.16354349159598,"DOWN",1
"67","GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS",1,0,"UP",1
"68","GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS",1,0,"DOWN",1
"69","GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.601270351734287,1.25044826787212,"UP",1
"70","GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.796130014205778,0.71677923402144,"DOWN",1
"71","GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS",0.62209555490316,0,"UP",1
"72","GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS",0.62209555490316,0,"DOWN",1
"73","GOBP_MITOTIC_CELL_CYCLE",0.124342175554255,0.775170019085004,"UP",0.607086631671513
"74","GOBP_MITOTIC_CELL_CYCLE",0.0282275434861065,0.695357555475026,"DOWN",0.254222010838192
"75","GOBP_MITOTIC_CYTOKINESIS",0.802845086041177,1.12490451616303,"UP",1
"76","GOBP_MITOTIC_CYTOKINESIS",0.321104492388929,0.423131285860506,"DOWN",0.949304797450516
"77","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",0.124571758120694,0.224099287608701,"UP",0.607086631671513
"78","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",0.124571758120694,0.224099287608701,"DOWN",0.607086631671513
"79","GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",1,0.534958557730797,"UP",1
"80","GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",1,0.534958557730797,"DOWN",1
"81","GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA",1,0,"UP",1
"82","GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA",1,0,"DOWN",1
"83","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",0.635792897903478,0,"UP",1
"84","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",0.635792897903478,0,"DOWN",1
"85","GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI",1,0,"UP",1
"86","GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI",0.449326412581859,1.87448776163282,"DOWN",1
"87","GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",0.185783310524323,1.3916144707995,"UP",0.747011208378047
"88","GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",0.767467000178148,0.857269191082363,"DOWN",1
"89","GOBP_RESPONSE_TO_OXYGEN_RADICAL",0.380210564007243,1.60726811083124,"UP",0.974666640601635
"90","GOBP_RESPONSE_TO_OXYGEN_RADICAL",0.380210564007243,1.60726811083124,"DOWN",0.974666640601635
"91","GOBP_PROTEIN_DENEDDYLATION",1,0,"UP",1
"92","GOBP_PROTEIN_DENEDDYLATION",1,0,"DOWN",1
"93","GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP",1,0,"UP",1
"94","GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP",1,0,"DOWN",1
"95","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",8.76793525706919e-07,0.0549677753294223,"UP",7.44880557328236e-05
"96","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",0.00399653638266943,0.340234285640708,"DOWN",0.0654676715787833
"97","GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0.0136435461363312,0,"UP",0.155273705590938
"98","GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0.234568242135438,0.400357008425657,"DOWN",0.844149284415468
"99","GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0.047762063380124,0,"UP",0.34502582824127
"100","GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0.261436934364876,0.260742627677175,"DOWN",0.874286124823482
"101","GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY",0.26709603013706,0,"UP",0.878171491804969
"102","GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY",0.719194405360932,0.449190291387877,"DOWN",1
"103","GOBP_MRNA_3_SPLICE_SITE_RECOGNITION",1,0,"UP",1
"104","GOBP_MRNA_3_SPLICE_SITE_RECOGNITION",1,0,"DOWN",1
"105","GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION",1,0,"UP",1
