"","setname","pvalue","estimate","exp","BH"
"1","KEGG_N_GLYCAN_BIOSYNTHESIS",1,0.724796475696647,"UP",1
"2","KEGG_N_GLYCAN_BIOSYNTHESIS",0.748801579123825,1.12465434928662,"Down",0.934745595416318
"3","KEGG_OTHER_GLYCAN_DEGRADATION",1,0,"UP",1
"4","KEGG_OTHER_GLYCAN_DEGRADATION",1,0,"Down",1
"5","KEGG_O_GLYCAN_BIOSYNTHESIS",0.717223806789876,0.488356267716177,"UP",0.918463308887922
"6","KEGG_O_GLYCAN_BIOSYNTHESIS",0.000432895655353905,5.65791417305792,"Down",0.00575132799255902
"7","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.318962203586195,1.87536216569182,"UP",0.632197400464515
"8","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",1,0.864712634304845,"Down",1
"9","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.61589663501024,0,"UP",0.872748922583372
"10","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",1,1.02211493319073,"Down",1
"11","KEGG_GLYCEROLIPID_METABOLISM",0.769577271615357,0.59096212573623,"UP",0.947956109406996
"12","KEGG_GLYCEROLIPID_METABOLISM",0.565317402328496,1.25019680585353,"Down",0.872748922583372
"13","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.410065932305075,0,"UP",0.722959842736909
"14","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.00545096947258662,4.51740684440191,"Down",0.0368683753418586
"15","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.319497610987443,0.439802595453508,"UP",0.632197400464515
"16","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.443932684198786,1.43784342273304,"Down",0.757536506981415
"17","KEGG_ETHER_LIPID_METABOLISM",0.0868263667461307,2.65169100760297,"UP",0.286261297988242
"18","KEGG_ETHER_LIPID_METABOLISM",0.0868263667461307,2.65169100760297,"Down",0.286261297988242
"19","KEGG_ARACHIDONIC_ACID_METABOLISM",0.234367277964194,1.70692050985862,"UP",0.528391681228365
"20","KEGG_ARACHIDONIC_ACID_METABOLISM",0.0320664743592759,2.54919954778025,"Down",0.149109105770633
"21","KEGG_LINOLEIC_ACID_METABOLISM",1,0.802872740160699,"UP",1
"22","KEGG_LINOLEIC_ACID_METABOLISM",0.00540003235685476,5.64409628506738,"Down",0.0368683753418586
"23","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.573615356340944,1.24944544009573,"UP",0.872748922583372
"24","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.19406698206726,2.81391906948218,"Down",0.465760756961424
"25","KEGG_SPHINGOLIPID_METABOLISM",0.743023110521369,1.16354349159598,"UP",0.930655209137876
"26","KEGG_SPHINGOLIPID_METABOLISM",0.0130752720177923,3.16270251980773,"Down",0.0715294292738049
"27","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1,0.624282074031152,"UP",1
"28","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.00313831519277787,5.21303079926464,"Down",0.0248394308875185
"29","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",1,0,"UP",1
"30","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",0.608470636620439,1.12440518665235,"Down",0.872748922583372
"31","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.608470636620439,1.12440518665235,"UP",0.872748922583372
"32","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",1,0,"Down",1
"33","KEGG_RIBOFLAVIN_METABOLISM",1,1.02211493319073,"UP",1
"34","KEGG_RIBOFLAVIN_METABOLISM",1,1.02211493319073,"Down",1
"35","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",1,0.624282074031152,"UP",1
"36","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.665096241350582,1.32331721565943,"Down",0.893197840369735
"37","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.318962203586195,1.87536216569182,"UP",0.632197400464515
"38","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.100466743321185,3.07204262859151,"Down",0.314064105172108
"39","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.175197961480748,0,"UP",0.445845295486834
"40","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.0368485765468027,2.70821105645561,"Down",0.159391517155937
"41","KEGG_BASAL_TRANSCRIPTION_FACTORS",0.717223806789876,0.488356267716177,"UP",0.918463308887922
"42","KEGG_BASAL_TRANSCRIPTION_FACTORS",0.256613291876883,0,"Down",0.555082252575342
"43","KEGG_NON_HOMOLOGOUS_END_JOINING",1,0,"UP",1
"44","KEGG_NON_HOMOLOGOUS_END_JOINING",1,0,"Down",1
"45","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",1,0.832479701905251,"UP",1
"46","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.72835127989768,0.400957258603108,"Down",0.918463308887922
"47","KEGG_LYSOSOME",0.45311797675879,1.29521962336394,"UP",0.766181306155772
"48","KEGG_LYSOSOME",0.189914344716271,0.481531421529452,"Down",0.461647885438205
"49","KEGG_CARDIAC_MUSCLE_CONTRACTION",1,0.911331330167806,"UP",1
"50","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.00111082973788295,3.77456106127578,"Down",0.0111683422295259
"51","KEGG_RENIN_ANGIOTENSIN_SYSTEM",0.628178896904532,0,"UP",0.872748922583372
"52","KEGG_RENIN_ANGIOTENSIN_SYSTEM",0.628178896904532,0,"Down",0.872748922583372
"53","KEGG_CIRCADIAN_RHYTHM_MAMMAL",0.61589663501024,0,"UP",0.872748922583372
"54","KEGG_CIRCADIAN_RHYTHM_MAMMAL",0.61589663501024,0,"Down",0.872748922583372
"55","KEGG_TASTE_TRANSDUCTION",1,0.936856399007884,"UP",1
"56","KEGG_TASTE_TRANSDUCTION",1,0.936856399007884,"Down",1
"57","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",1,0.749277242744617,"UP",1
"58","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.0364109921771409,3.75788840283469,"Down",0.159351636351723
"59","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.0320664743592759,2.54919954778025,"UP",0.149109105770633
"60","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.366769697019605,0.303186346113001,"Down",0.686164527853345
"61","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",3.27312958758458e-06,4.08874972873859,"UP",0.000125338627960813
"62","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.00394096744011425,0,"Down",0.02932079775445
"63","KEGG_PRIMARY_IMMUNODEFICIENCY",0.717223806789876,0.488356267716177,"UP",0.918463308887922
"64","KEGG_PRIMARY_IMMUNODEFICIENCY",0.717223806789876,0.488356267716177,"Down",0.918463308887922
"65","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.00186575082673889,3.02197389478522,"UP",0.0165252216082587
"66","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",1,0.847920234110859,"Down",1
"67","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.000794972434150022,3.40115719633463,"UP",0.00896150743950934
"68","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.612649199925085,1.19702908877862,"Down",0.872748922583372
"69","KEGG_DILATED_CARDIOMYOPATHY",0.00127389754147969,3.00853282826336,"UP",0.0121510227033447
"70","KEGG_DILATED_CARDIOMYOPATHY",0.48418934783358,0.57042991252978,"Down",0.811344312585999
"71","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.258226426744035,0.266974463893123,"UP",0.555082252575342
"72","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.00698274073019104,2.99367420019353,"Down",0.0412314214544614
"73","KEGG_CITRATE_CYCLE_TCA_CYCLE",0.261093651618574,0,"UP",0.555082252575342
"74","KEGG_CITRATE_CYCLE_TCA_CYCLE",0.00308119877867755,4.3952584218001,"Down",0.0248394308875185
"75","KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.252747410774734,0,"UP",0.555082252575342
"76","KEGG_PENTOSE_PHOSPHATE_PATHWAY",1,0.534958557730797,"Down",1
"77","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",1,0.661063075505724,"UP",1
"78","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.000338409078212889,7.19560941288911,"Down",0.0046625250775998
"79","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.72835127989768,0.400957258603108,"UP",0.918463308887922
"80","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.00750938829778601,3.59484663568741,"Down",0.0436483194808812
"81","KEGG_GALACTOSE_METABOLISM",1,0.702380973579045,"UP",1
"82","KEGG_GALACTOSE_METABOLISM",0.157030576074128,2.41320525000187,"Down",0.420254491363853
"83","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.635792897903478,0,"UP",0.872748922583372
"84","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",1.0554479744426e-06,14.5698263368326,"Down",5.6089520927521e-05
"85","KEGG_FATTY_ACID_METABOLISM",0.109732364926886,0,"UP",0.331241998139342
"86","KEGG_FATTY_ACID_METABOLISM",0.00026942901530461,4.72074391248042,"Down",0.00417614973722146
"87","KEGG_STEROID_BIOSYNTHESIS",0.635792897903478,0,"UP",0.872748922583372
"88","KEGG_STEROID_BIOSYNTHESIS",0.635792897903478,0,"Down",0.872748922583372
"89","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",1,0,"UP",1
"90","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.608470636620439,1.12440518665235,"Down",0.872748922583372
"91","KEGG_STEROID_HORMONE_BIOSYNTHESIS",1,1.02215927108363,"UP",1
"92","KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.0019517889185585,3.77176821520699,"Down",0.0168852436675293
"93","KEGG_OXIDATIVE_PHOSPHORYLATION",0.030528783629462,0.151094831296249,"UP",0.146306487899247
"94","KEGG_OXIDATIVE_PHOSPHORYLATION",8.8622354493637e-05,3.33451980414903,"Down",0.00161347032636386
"95","KEGG_PURINE_METABOLISM",0.0608863443699918,0.399152890179511,"UP",0.235934584433718
"96","KEGG_PURINE_METABOLISM",0.607335968614277,1.1797981269024,"Down",0.872748922583372
"97","KEGG_PYRIMIDINE_METABOLISM",0.280912167006698,0.487325776276168,"UP",0.577344343240285
"98","KEGG_PYRIMIDINE_METABOLISM",0.662936245271854,1.2122487588979,"Down",0.893197840369735
"99","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.724583356748083,0.415844040127701,"UP",0.918463308887922
